company_name,cif,external_id,country,cnae_code,year,revenue,ebitda,net_income,total_assets,equity,cash_and_equivalents,financial_debt_st,financial_debt_lt,employees
Mercadona Express,W59798615,ES006,España,4711,2023,335000000,30150000,19000000,230000000,90000000,35000000,6000000,27000000,1400
Frescos de Andalucía,R97476354,ES007,España,4711,2019,15000000,750000,300000,12000000,4500000,1500000,800000,3000000,95
Frescos de Andalucía,R97476354,ES007,España,4711,2020,14000000,560000,100000,11500000,4200000,1300000,900000,3200000,90
Frescos de Andalucía,R97476354,ES007,España,4711,2021,16500000,990000,450000,13000000,4800000,1700000,750000,2900000,98
Frescos de Andalucía,R97476354,ES007,España,4711,2022,18000000,1260000,600000,14000000,5200000,1900000,700000,2800000,102
Frescos de Andalucía,R97476354,ES007,España,4711,2023,19500000,1560000,800000,15000000,5800000,2200000,650000,2600000,108
Alimentación Galicia,J56613699,ES008,España,4711,2019,42000000,2520000,1200000,35000000,13000000,4000000,2000000,8000000,220
Alimentación Galicia,J56613699,ES008,España,4711,2020,40000000,2000000,800000,34000000,12500000,3500000,2200000,8500000,215
Alimentación Galicia,J56613699,ES008,España,4711,2021,45000000,3150000,1600000,37000000,14000000,4500000,1800000,7800000,230
Alimentación Galicia,J56613699,ES008,España,4711,2022,48000000,3840000,2000000,39000000,15500000,5000000,1600000,7500000,240
Alimentación Galicia,J56613699,ES008,España,4711,2023,51000000,4080000,2200000,41000000,16500000,5500000,1500000,7200000,248
Softdev Solutions,H46616262,ES009,España,6201,2019,5000000,1250000,800000,4000000,2000000,1500000,200000,500000,45
Softdev Solutions,H46616262,ES009,España,6201,2020,5800000,1566000,1000000,4500000,2400000,1800000,180000,450000,52
Softdev Solutions,H46616262,ES009,España,6201,2021,7200000,2160000,1400000,5500000,3100000,2200000,150000,400000,60
Softdev Solutions,H46616262,ES009,España,6201,2022,9000000,2880000,1900000,6800000,4000000,2800000,120000,350000,72
Softdev Solutions,H46616262,ES009,España,6201,2023,11500000,3910000,2600000,8500000,5200000,3500000,100000,300000,85
Tecnologías Cloud Iberia,D84167952,ES010,España,6201,2019,18000000,4500000,2800000,15000000,7000000,5000000,500000,2000000,120
Tecnologías Cloud Iberia,D84167952,ES010,España,6201,2020,22000000,5940000,3800000,18000000,8800000,6000000,400000,1800000,140
Tecnologías Cloud Iberia,D84167952,ES010,España,6201,2021,28000000,8120000,5200000,22000000,11500000,7500000,350000,1500000,165
Tecnologías Cloud Iberia,D84167952,ES010,España,6201,2022,35000000,10850000,7000000,27000000,15000000,9500000,300000,1200000,195
Tecnologías Cloud Iberia,D84167952,ES010,España,6201,2023,43000000,14190000,9200000,33000000,19500000,12000000,250000,1000000,230
Consultoría Digital Norte,A53711288,ES011,España,6201,2019,3200000,640000,350000,2800000,1200000,800000,150000,400000,28
Consultoría Digital Norte,A53711288,ES011,España,6201,2020,3000000,480000,200000,2700000,1100000,700000,180000,450000,26
Consultoría Digital Norte,A53711288,ES011,España,6201,2021,3800000,836000,480000,3100000,1400000,900000,130000,380000,30
Consultoría Digital Norte,A53711288,ES011,España,6201,2022,4500000,1080000,650000,3500000,1700000,1100000,110000,350000,35
Consultoría Digital Norte,A53711288,ES011,España,6201,2023,5200000,1352000,820000,4000000,2000000,1300000,100000,300000,40
DataTech Sistemas,V73414977,ES012,España,6201,2019,1500000,225000,80000,1200000,500000,400000,80000,200000,15
DataTech Sistemas,V73414977,ES012,España,6201,2020,1800000,324000,140000,1400000,600000,500000,70000,180000,18
DataTech Sistemas,V73414977,ES012,España,6201,2021,2500000,575000,280000,1900000,800000,650000,60000,150000,22
DataTech Sistemas,V73414977,ES012,España,6201,2022,3200000,832000,450000,2400000,1100000,850000,50000,120000,28
DataTech Sistemas,V73414977,ES012,España,6201,2023,4100000,1148000,650000,3000000,1400000,1050000,40000,100000,34
Innovatech Labs,M33134553,ES013,España,6201,2019,800000,-120000,-250000,900000,300000,200000,50000,200000,10
Innovatech Labs,M33134553,ES013,España,6201,2020,1200000,60000,-80000,1100000,350000,280000,40000,180000,14
Innovatech Labs,M33134553,ES013,España,6201,2021,2000000,300000,100000,1500000,500000,400000,30000,150000,18
Innovatech Labs,M33134553,ES013,España,6201,2022,3000000,600000,300000,2000000,750000,550000,25000,120000,24
Innovatech Labs,M33134553,ES013,España,6201,2023,4200000,966000,550000,2800000,1100000,750000,20000,100000,30
Constructora Peninsular,B14991812,ES014,España,4110,2019,65000000,6500000,3200000,80000000,25000000,5000000,8000000,20000000,280
Constructora Peninsular,B14991812,ES014,España,4110,2020,55000000,3850000,1200000,75000000,22000000,4000000,9000000,22000000,260
Constructora Peninsular,B14991812,ES014,España,4110,2021,62000000,5580000,2800000,78000000,24000000,4500000,8500000,21000000,270
Constructora Peninsular,B14991812,ES014,España,4110,2022,70000000,7700000,4200000,85000000,27000000,5500000,8000000,19000000,285
Constructora Peninsular,B14991812,ES014,España,4110,2023,78000000,9360000,5500000,90000000,30000000,6000000,7500000,18000000,300
Obras y Proyectos Madrid,B84301198,ES015,España,4110,2019,180000000,14400000,7000000,200000000,60000000,15000000,12000000,50000000,650
Obras y Proyectos Madrid,B84301198,ES015,España,4110,2020,150000000,9000000,2500000,190000000,55000000,12000000,14000000,55000000,620
Obras y Proyectos Madrid,B84301198,ES015,España,4110,2021,170000000,13600000,6500000,210000000,58000000,14000000,13000000,52000000,640
Obras y Proyectos Madrid,B84301198,ES015,España,4110,2022,195000000,17550000,9000000,225000000,64000000,16000000,11000000,48000000,670
Obras y Proyectos Madrid,B84301198,ES015,España,4110,2023,210000000,21000000,11500000,240000000,70000000,18000000,10000000,45000000,700
Edificaciones del Sur,C85824454,ES016,España,4110,2019,22000000,1760000,700000,28000000,8000000,2000000,3000000,8000000,95
Edificaciones del Sur,C85824454,ES016,España,4110,2020,18000000,720000,-200000,26000000,7000000,1500000,3500000,9000000,85
Edificaciones del Sur,C85824454,ES016,España,4110,2021,24000000,2160000,900000,30000000,8500000,2200000,2800000,7500000,100
Edificaciones del Sur,C85824454,ES016,España,4110,2022,28000000,3080000,1500000,33000000,9500000,2500000,2500000,7000000,108
Edificaciones del Sur,C85824454,ES016,España,4110,2023,32000000,3840000,2000000,36000000,11000000,3000000,2200000,6500000,115
Reformas Integrales BCN,R68322148,ES017,España,4110,2019,5500000,385000,100000,5000000,1800000,600000,500000,1500000,32
Reformas Integrales BCN,R68322148,ES017,España,4110,2020,4200000,-210000,-500000,4800000,1400000,400000,600000,1800000,28
Reformas Integrales BCN,R68322148,ES017,España,4110,2021,5800000,464000,150000,5200000,1900000,700000,450000,1400000,34
Reformas Integrales BCN,R68322148,ES017,España,4110,2022,6500000,650000,280000,5500000,2100000,800000,400000,1300000,36
Reformas Integrales BCN,R68322148,ES017,España,4110,2023,7200000,864000,420000,6000000,2400000,950000,350000,1200000,38
Clínica Salud Mediterráneo,N79812313,ES018,España,8621,2019,12000000,2400000,1400000,10000000,4500000,2000000,800000,2500000,75
Clínica Salud Mediterráneo,N79812313,ES018,España,8621,2020,10500000,1785000,900000,9800000,4200000,1800000,900000,2700000,72
Clínica Salud Mediterráneo,N79812313,ES018,España,8621,2021,13500000,2835000,1700000,11000000,5000000,2200000,750000,2300000,80
Clínica Salud Mediterráneo,N79812313,ES018,España,8621,2022,15000000,3300000,2000000,12000000,5800000,2500000,700000,2100000,85
Clínica Salud Mediterráneo,N79812313,ES018,España,8621,2023,17000000,3910000,2500000,13500000,6500000,2800000,650000,1900000,92
Centro Médico Bienestar,M26667057,ES019,España,8621,2019,35000000,7000000,4200000,30000000,12000000,5000000,2000000,7000000,180
Centro Médico Bienestar,M26667057,ES019,España,8621,2020,32000000,5760000,3200000,29000000,11000000,4500000,2300000,7500000,175
Centro Médico Bienestar,M26667057,ES019,España,8621,2021,38000000,7980000,4800000,32000000,13500000,5500000,1800000,6500000,190
Centro Médico Bienestar,M26667057,ES019,España,8621,2022,42000000,9240000,5800000,35000000,15500000,6000000,1600000,6000000,200
Centro Médico Bienestar,M26667057,ES019,España,8621,2023,46000000,10580000,6800000,38000000,17500000,7000000,1400000,5500000,215
Diagnósticos Avanzados,E37744719,ES020,España,8621,2019,8000000,1600000,900000,7000000,3000000,1500000,500000,1800000,55
Diagnósticos Avanzados,E37744719,ES020,España,8621,2020,7500000,1275000,600000,6800000,2800000,1300000,600000,2000000,52
Diagnósticos Avanzados,E37744719,ES020,España,8621,2021,9000000,1890000,1100000,7500000,3300000,1700000,450000,1700000,58
Diagnósticos Avanzados,E37744719,ES020,España,8621,2022,10000000,2200000,1350000,8200000,3700000,1900000,400000,1500000,62
Diagnósticos Avanzados,E37744719,ES020,España,8621,2023,11000000,2530000,1600000,9000000,4200000,2200000,350000,1300000,68
Fisioterapia Integral,D71014966,ES021,España,8621,2019,2500000,375000,150000,2000000,800000,400000,150000,500000,22
Fisioterapia Integral,D71014966,ES021,España,8621,2020,2200000,264000,50000,1900000,720000,350000,180000,550000,20
Fisioterapia Integral,D71014966,ES021,España,8621,2021,2800000,448000,200000,2200000,880000,450000,130000,480000,24
Fisioterapia Integral,D71014966,ES021,España,8621,2023,3500000,630000,350000,2600000,1100000,600000,100000,400000,28
Hotel Costa Brava,C84297448,ES022,España,5510,2019,20000000,4000000,2200000,35000000,12000000,3000000,2000000,10000000,150
Hotel Costa Brava,C84297448,ES022,España,5510,2020,8000000,-1600000,-3500000,33000000,8500000,1500000,3000000,12000000,120
Hotel Costa Brava,C84297448,ES022,España,5510,2021,14000000,1400000,-500000,32000000,9000000,2000000,2500000,11000000,135
Hotel Costa Brava,C84297448,ES022,España,5510,2022,22000000,4400000,2500000,34000000,11500000,3200000,2000000,9500000,155
Hotel Costa Brava,C84297448,ES022,España,5510,2023,25000000,5250000,3200000,36000000,13000000,3800000,1800000,9000000,165
Hoteles Meliá Premium,A05231105,ES023,España,5510,2019,85000000,17000000,9500000,120000000,40000000,12000000,6000000,30000000,520
Hoteles Meliá Premium,A05231105,ES023,España,5510,2020,35000000,-3500000,-12000000,115000000,28000000,6000000,8000000,35000000,400
Hoteles Meliá Premium,A05231105,ES023,España,5510,2021,55000000,5500000,-2000000,110000000,30000000,8000000,7000000,32000000,450
Hoteles Meliá Premium,A05231105,ES023,España,5510,2022,80000000,16000000,8500000,118000000,38000000,11000000,6500000,28000000,510
Hoteles Meliá Premium,A05231105,ES023,España,5510,2023,95000000,20900000,12000000,125000000,45000000,14000000,5500000,26000000,550
Hostal Rural Extremadura,S91329641,ES024,España,5510,2019,1500000,225000,80000,1800000,600000,200000,100000,500000,12
Hostal Rural Extremadura,S91329641,ES024,España,5510,2020,600000,-180000,-300000,1700000,350000,100000,150000,600000,8
Hostal Rural Extremadura,S91329641,ES024,España,5510,2021,900000,-45000,-200000,1650000,300000,120000,130000,550000,10
Hostal Rural Extremadura,S91329641,ES024,España,5510,2022,1600000,256000,100000,1750000,650000,220000,110000,480000,13
Hostal Rural Extremadura,S91329641,ES024,España,5510,2023,1800000,324000,150000,1900000,750000,280000,90000,450000,14
Resort Playa del Carmen,D83251872,ES025,España,5510,2019,45000000,9000000,5000000,65000000,22000000,6000000,3000000,15000000,280
Resort Playa del Carmen,D83251872,ES025,España,5510,2020,18000000,-1800000,-6000000,62000000,16000000,3000000,5000000,20000000,220
Resort Playa del Carmen,D83251872,ES025,España,5510,2021,30000000,3600000,-1000000,60000000,17000000,4000000,4000000,18000000,250
Resort Playa del Carmen,D83251872,ES025,España,5510,2022,48000000,9600000,5500000,64000000,21000000,6500000,3500000,16000000,275
Resort Playa del Carmen,D83251872,ES025,España,5510,2023,52000000,11440000,7000000,68000000,25000000,7500000,3000000,14000000,290
Energía Solar Castilla,R32822239,ES026,España,3511,2019,30000000,7500000,4500000,50000000,18000000,5000000,3000000,15000000,80
Energía Solar Castilla,R32822239,ES026,España,3511,2020,32000000,8320000,5000000,52000000,19500000,5500000,2800000,14500000,85
Energía Solar Castilla,R32822239,ES026,España,3511,2021,38000000,10260000,6200000,58000000,22000000,6500000,2500000,13000000,90
Energía Solar Castilla,R32822239,ES026,España,3511,2022,45000000,12600000,7800000,65000000,26000000,7500000,2200000,12000000,98
Energía Solar Castilla,R32822239,ES026,España,3511,2023,52000000,15080000,9500000,72000000,30000000,9000000,2000000,11000000,105
Eólica del Cantábrico,V68956488,ES027,España,3511,2019,75000000,18750000,11000000,100000000,35000000,10000000,5000000,25000000,150
Eólica del Cantábrico,V68956488,ES027,España,3511,2020,78000000,20280000,12000000,105000000,37000000,11000000,4500000,24000000,155
Eólica del Cantábrico,V68956488,ES027,España,3511,2021,85000000,22950000,14000000,112000000,40000000,12000000,4000000,22000000,160
Eólica del Cantábrico,V68956488,ES027,España,3511,2022,92000000,25760000,16000000,120000000,45000000,13000000,3500000,20000000,168
Eólica del Cantábrico,V68956488,ES027,España,3511,2023,100000000,29000000,18500000,130000000,50000000,15000000,3000000,18000000,175
Hidroeléctrica Pirineo,A10866059,ES028,España,3511,2019,15000000,4050000,2500000,25000000,9000000,3000000,1000000,6000000,40
Hidroeléctrica Pirineo,A10866059,ES028,España,3511,2020,14500000,3770000,2200000,24500000,8800000,2800000,1100000,6200000,38
Hidroeléctrica Pirineo,A10866059,ES028,España,3511,2021,16000000,4480000,2800000,26000000,9500000,3200000,900000,5800000,42
Hidroeléctrica Pirineo,A10866059,ES028,España,3511,2022,18000000,5220000,3300000,28000000,10800000,3500000,800000,5500000,45
Hidroeléctrica Pirineo,A10866059,ES028,España,3511,2023,20000000,6000000,3800000,30000000,12000000,4000000,700000,5000000,48
Renovables del Mediterráneo,F92821209,ES029,España,3511,2019,5000000,1000000,400000,8000000,2500000,1500000,500000,2500000,20
Renovables del Mediterráneo,F92821209,ES029,España,3511,2020,5500000,1210000,550000,8500000,2800000,1700000,450000,2300000,22
Renovables del Mediterráneo,F92821209,ES029,España,3511,2021,7000000,1680000,850000,10000000,3400000,2000000,400000,2100000,25
Renovables del Mediterráneo,F92821209,ES029,España,3511,2022,9000000,2340000,1200000,12000000,4200000,2500000,350000,1800000,28
Renovables del Mediterráneo,F92821209,ES029,España,3511,2023,11000000,3080000,1800000,14000000,5200000,3000000,300000,1500000,32
Consultoría Estratégica Madrid,Q72995728,ES030,España,7022,2019,12000000,3000000,1900000,8000000,4000000,3000000,300000,1000000,65
Consultoría Estratégica Madrid,Q72995728,ES030,España,7022,2020,11000000,2530000,1500000,7500000,3700000,2700000,350000,1100000,62
Consultoría Estratégica Madrid,Q72995728,ES030,España,7022,2021,13500000,3510000,2200000,9000000,4500000,3200000,280000,900000,70
Consultoría Estratégica Madrid,Q72995728,ES030,España,7022,2022,15000000,4050000,2600000,10000000,5200000,3500000,250000,800000,75
Consultoría Estratégica Madrid,Q72995728,ES030,España,7022,2023,17000000,4760000,3100000,11500000,6000000,4000000,200000,700000,82
Advisory Partners Iberia,A28998315,ES031,España,7022,2019,8000000,2000000,1200000,6000000,2800000,2000000,200000,800000,45
Advisory Partners Iberia,A28998315,ES031,España,7022,2020,7500000,1725000,1000000,5800000,2600000,1800000,250000,900000,42
Advisory Partners Iberia,A28998315,ES031,España,7022,2021,9000000,2340000,1450000,6500000,3100000,2200000,180000,750000,48
Advisory Partners Iberia,A28998315,ES031,España,7022,2022,10500000,2835000,1800000,7200000,3600000,2500000,150000,650000,52
Advisory Partners Iberia,A28998315,ES031,España,7022,2023,12000000,3360000,2200000,8000000,4200000,3000000,120000,550000,58
Gestión y Talento,D30140835,ES032,España,7022,2019,3500000,700000,380000,3000000,1200000,800000,100000,500000,25
Gestión y Talento,D30140835,ES032,España,7022,2020,3200000,544000,250000,2800000,1100000,700000,120000,550000,23
Gestión y Talento,D30140835,ES032,España,7022,2021,4000000,880000,500000,3300000,1400000,900000,90000,450000,28
Gestión y Talento,D30140835,ES032,España,7022,2022,4500000,1035000,620000,3600000,1600000,1050000,80000,400000,30
Gestión y Talento,D30140835,ES032,España,7022,2023,5000000,1200000,750000,4000000,1850000,1200000,70000,350000,33
Estrategia Global BCN,F39158042,ES033,España,7022,2019,25000000,6250000,3800000,20000000,9000000,6000000,500000,2500000,130
Estrategia Global BCN,F39158042,ES033,España,7022,2020,23000000,5290000,3100000,19000000,8500000,5500000,600000,2800000,125
Estrategia Global BCN,F39158042,ES033,España,7022,2021,27000000,7020000,4300000,22000000,10000000,6500000,450000,2200000,138
Estrategia Global BCN,F39158042,ES033,España,7022,2022,30000000,8100000,5200000,24000000,11500000,7000000,400000,2000000,145
Estrategia Global BCN,F39158042,ES033,España,7022,2023,34000000,9520000,6200000,27000000,13500000,8000000,350000,1800000,155
Logística Express Valencia,G93241287,ES034,España,4619,2019,55000000,6600000,3500000,45000000,16000000,5000000,3500000,12000000,200
Logística Express Valencia,G93241287,ES034,España,4619,2020,50000000,5000000,2200000,43000000,14500000,4500000,4000000,13000000,190
Logística Express Valencia,G93241287,ES034,España,4619,2021,60000000,7800000,4200000,48000000,17500000,5500000,3200000,11500000,210
Logística Express Valencia,G93241287,ES034,España,4619,2022,68000000,9520000,5500000,52000000,20000000,6000000,3000000,10500000,225
Logística Express Valencia,G93241287,ES034,España,4619,2023,75000000,11250000,6800000,56000000,23000000,7000000,2800000,9500000,240
Autopartes del Centro,L02669560,ES035,España,4619,2019,38000000,4560000,2200000,32000000,12000000,3500000,2500000,8000000,150
Autopartes del Centro,L02669560,ES035,España,4619,2020,34000000,3400000,1400000,30000000,11000000,3000000,2800000,8500000,142
Autopartes del Centro,L02669560,ES035,España,4619,2021,40000000,5200000,2800000,34000000,13000000,3800000,2300000,7800000,155
Autopartes del Centro,L02669560,ES035,España,4619,2022,44000000,6160000,3500000,37000000,14500000,4200000,2100000,7200000,162
Autopartes del Centro,L02669560,ES035,España,4619,2023,47000000,7050000,4100000,39000000,16000000,4800000,1900000,6800000,170
Supermercados Eco,V33850347,ES036,España,4711,2019,60000000,3000000,1500000,50000000,18000000,6000000,2500000,10000000,350
Supermercados Eco,V33850347,ES036,España,4711,2020,65000000,3900000,2000000,53000000,19500000,6500000,2300000,9500000,365
Supermercados Eco,V33850347,ES036,España,4711,2021,70000000,4900000,2800000,56000000,21000000,7000000,2100000,9000000,380
Supermercados Eco,V33850347,ES036,España,4711,2022,76000000,6080000,3500000,60000000,23000000,7500000,1900000,8500000,400
Supermercados Eco,V33850347,ES036,España,4711,2023,82000000,7380000,4200000,64000000,25000000,8000000,1800000,8000000,415
Cybersec Ibérica,S88042318,ES037,España,6201,2019,2200000,440000,200000,1800000,750000,500000,100000,300000,18
Cybersec Ibérica,S88042318,ES037,España,6201,2020,2800000,616000,320000,2100000,900000,600000,80000,250000,22
Cybersec Ibérica,S88042318,ES037,España,6201,2021,3800000,950000,520000,2700000,1200000,800000,60000,200000,28
Cybersec Ibérica,S88042318,ES037,España,6201,2022,5200000,1404000,800000,3500000,1700000,1100000,50000,150000,36
Cybersec Ibérica,S88042318,ES037,España,6201,2023,7000000,2030000,1200000,4500000,2300000,1500000,40000,120000,45
Clínica Dental Sonrisa,U95197751,ES038,España,8621,2019,4000000,800000,450000,3500000,1500000,700000,300000,800000,35
Clínica Dental Sonrisa,U95197751,ES038,España,8621,2020,3500000,595000,280000,3300000,1350000,600000,350000,900000,32
Clínica Dental Sonrisa,U95197751,ES038,España,8621,2021,4500000,945000,550000,3800000,1650000,800000,280000,750000,38
Clínica Dental Sonrisa,U95197751,ES038,España,8621,2022,5000000,1100000,650000,4100000,1900000,900000,250000,700000,42
Clínica Dental Sonrisa,U95197751,ES038,España,8621,2023,5500000,1265000,780000,4500000,2200000,1050000,220000,650000,46
Promociones Urbanas Sevilla,U59784611,ES039,España,4110,2019,40000000,3600000,1500000,55000000,15000000,4000000,5000000,15000000,180
Promociones Urbanas Sevilla,U59784611,ES039,España,4110,2020,30000000,1200000,-800000,52000000,12000000,3000000,6000000,18000000,160
Promociones Urbanas Sevilla,U59784611,ES039,España,4110,2021,38000000,3420000,1200000,54000000,14000000,3500000,5500000,16000000,175
Promociones Urbanas Sevilla,U59784611,ES039,España,4110,2022,45000000,4950000,2200000,58000000,16000000,4200000,5000000,15000000,190
Promociones Urbanas Sevilla,U59784611,ES039,España,4110,2023,50000000,6000000,3000000,62000000,18000000,5000000,4500000,14000000,200
Renovables Atlántico,N07904507,ES040,España,3511,2019,22000000,5500000,3200000,35000000,12000000,4000000,2000000,10000000,55
Renovables Atlántico,N07904507,ES040,España,3511,2020,24000000,6240000,3700000,37000000,13000000,4500000,1800000,9500000,58
Renovables Atlántico,N07904507,ES040,España,3511,2021,28000000,7560000,4500000,40000000,15000000,5000000,1600000,9000000,62
Renovables Atlántico,N07904507,ES040,España,3511,2022,33000000,9240000,5800000,45000000,18000000,6000000,1400000,8000000,68
Renovables Atlántico,N07904507,ES040,España,3511,2023,38000000,11020000,7000000,50000000,21000000,7000000,1200000,7000000,73
Hotel Boutique Salamanca,M25677242,ES041,España,5510,2019,6000000,1200000,600000,8000000,3000000,1000000,500000,2500000,45
Hotel Boutique Salamanca,M25677242,ES041,España,5510,2020,2500000,-500000,-1200000,7500000,1800000,500000,800000,3000000,30
Hotel Boutique Salamanca,M25677242,ES041,España,5510,2021,4000000,400000,-300000,7200000,2000000,700000,700000,2800000,38
Hotel Boutique Salamanca,M25677242,ES041,España,5510,2022,6500000,1300000,650000,7800000,3200000,1100000,600000,2500000,48
Hotel Boutique Salamanca,M25677242,ES041,España,5510,2023,7500000,1650000,900000,8500000,3600000,1300000,500000,2300000,52
Pharma Salud España,V69112588,ES042,España,8621,2019,50000000,10000000,6000000,45000000,18000000,8000000,3000000,10000000,250
Pharma Salud España,V69112588,ES042,España,8621,2020,48000000,8640000,5000000,44000000,17000000,7000000,3500000,11000000,245
Pharma Salud España,V69112588,ES042,España,8621,2021,55000000,11550000,7000000,48000000,20000000,9000000,2800000,9500000,260
Pharma Salud España,V69112588,ES042,España,8621,2022,60000000,13200000,8200000,52000000,23000000,10000000,2500000,8500000,275
Pharma Salud España,V69112588,ES042,España,8621,2023,66000000,15180000,9800000,56000000,26000000,11500000,2200000,7500000,290
Smart Analytics,U00630005,ES043,España,6201,2019,4500000,900000,500000,3800000,1600000,1200000,150000,500000,35
Smart Analytics,U00630005,ES043,España,6201,2020,5200000,1144000,650000,4200000,1900000,1400000,130000,450000,40
Smart Analytics,U00630005,ES043,España,6201,2021,6500000,1625000,950000,5000000,2400000,1700000,110000,400000,48
Smart Analytics,U00630005,ES043,España,6201,2022,8000000,2160000,1300000,6000000,3000000,2100000,90000,350000,56
Smart Analytics,U00630005,ES043,España,6201,2023,10000000,2900000,1800000,7500000,3800000,2600000,80000,300000,65
Cadena Hotelera Ibiza,G88617817,ES044,España,5510,2019,120000000,24000000,14000000,160000000,55000000,15000000,8000000,40000000,700
Cadena Hotelera Ibiza,G88617817,ES044,España,5510,2020,50000000,-5000000,-18000000,155000000,37000000,8000000,10000000,48000000,550
Cadena Hotelera Ibiza,G88617817,ES044,España,5510,2021,80000000,8000000,-3000000,150000000,40000000,10000000,9000000,45000000,620
Cadena Hotelera Ibiza,G88617817,ES044,España,5510,2022,115000000,23000000,13000000,158000000,52000000,14000000,8000000,42000000,690
Cadena Hotelera Ibiza,G88617817,ES044,España,5510,2023,130000000,28600000,17000000,165000000,60000000,17000000,7000000,38000000,720
Materiales Construcción Aragón,J12940403,ES045,España,4619,2019,25000000,3250000,1600000,22000000,8000000,2500000,1500000,5500000,95
Materiales Construcción Aragón,J12940403,ES045,España,4619,2020,22000000,2420000,1000000,21000000,7200000,2200000,1700000,6000000,90
Materiales Construcción Aragón,J12940403,ES045,España,4619,2021,27000000,3780000,2000000,24000000,8800000,2800000,1400000,5200000,100
Materiales Construcción Aragón,J12940403,ES045,España,4619,2022,30000000,4500000,2500000,26000000,10000000,3200000,1200000,4800000,105
Materiales Construcción Aragón,J12940403,ES045,España,4619,2023,33000000,5280000,3100000,28000000,11500000,3600000,1100000,4500000,112
Ingeniería Verde,A91968323,ES046,España,7022,2019,6000000,1500000,900000,5000000,2200000,1500000,200000,600000,40
Ingeniería Verde,A91968323,ES046,España,7022,2020,5500000,1265000,720000,4800000,2000000,1300000,250000,700000,38
